MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
309,4,764,34,2762500.0,33,47.14285714285714,37.24802804557405,39.1302950628104,Low,High,High,Can't Lose Them,81250.0,Sukomanunggal,28.0,0
312,6,2014,7,505000.0,33,8.571428571428571,6.809141778466932,16.1268567832985,Low,Medium,Medium,Hibernating,72142.85714285714,Citraland (9GO),31.0,0
313,3,2395,2,100000.0,33,1.4285714285714286,1.3483449066271151,11.925638778399517,Low,Medium,Low,Hibernating,50000.0,Graha Family,6.0,1
314,10,8,34,2730000.0,100,47.14285714285714,36.809815950920246,61.31755769792579,High,High,High,Champions,80294.11764705883,Bukit Darmo Golf,43.0,0
315,5,2222,5,300000.0,33,5.714285714285714,4.045034719881346,14.25310681138902,Low,Medium,Medium,Hibernating,60000.0,Klampis,50.0,0
316,3,1554,33,4055000.0,33,45.71428571428572,54.67538596372952,44.46322389267175,Low,High,High,Can't Lose Them,122878.78787878789,Graha Family,23.0,0
316,3,2313,8,952500.0,33,10.0,12.842985235623273,18.614328411874425,Low,Medium,Medium,Hibernating,119062.5,Graha Family,23.0,1
317,3,2348,5,500000.0,33,5.714285714285714,6.741724533135576,15.152003415807096,Low,Medium,Medium,Hibernating,100000.0,Graha Family,29.0,0
318,5,2395,3,165000.0,33,2.857142857142857,2.22476909593474,12.693970651025865,Low,Medium,Medium,Hibernating,55000.0,Klampis,66.0,0
319,6,1401,24,1510000.0,33,32.857142857142854,20.36000809006944,28.73905031573744,Low,High,High,Can't Lose Them,62916.66666666666,Citraland (9GO),38.0,0
320,5,222,61,5677500.0,33,85.71428571428571,76.55228207375447,65.08885592934672,Low,High,High,Can't Lose Them,93073.77049180328,Klampis,47.0,0
321,2,2342,4,265000.0,33,4.285714285714286,3.573114002561855,13.61960942942538,Low,Medium,Medium,Hibernating,66250.0,Intro,39.0,0
322,5,2271,9,1017500.0,33,11.428571428571429,13.719409424930898,19.382660284500776,Low,Medium,Medium,Hibernating,113055.55555555556,Klampis,28.0,0
323,10,800,23,1602500.0,33,31.428571428571427,21.60722712869952,28.67859951909032,Low,High,High,Can't Lose Them,69673.91304347826,Bukit Darmo Golf,47.0,0
324,2,2110,12,955000.0,33,15.714285714285714,12.87669385828895,20.530326524191555,Low,Medium,Medium,Hibernating,79583.33333333333,Intro,35.0,0
325,4,779,15,1180000.0,33,20.0,15.91046989819996,22.97015663273332,Low,High,High,Can't Lose Them,78666.66666666667,Sukomanunggal,23.0,0
326,10,1500,5,307500.0,33,5.714285714285714,4.14616058787838,14.286815434054695,Low,Medium,Medium,Hibernating,61500.0,Bukit Darmo Golf,21.0,0
327,4,1157,25,2017500.0,33,34.285714285714285,27.202858491202047,31.49619092563877,Low,High,High,Can't Lose Them,80700.0,Sukomanunggal,35.0,0
